cluster_id,cluster_name,prompt_variation,variation_type,prompt,condition,latency_ms,fallback,correct_cluster,template_key,rule_classes
1,homesickness,1,direct,I miss my hometown,A,1826.3,False,True,,
1,homesickness,1,direct,I miss my hometown,D,0.9,False,True,nostalgia,K|J
1,homesickness,2,descriptive,I keep thinking about the place I grew up,A,529.1,False,True,,
1,homesickness,2,descriptive,I keep thinking about the place I grew up,D,0.3,False,False,nostalgia,C|J
1,homesickness,3,indirect,Part of me never really left home,A,671.8,False,True,,
1,homesickness,3,indirect,Part of me never really left home,D,0.1,False,True,mourning,K|C
1,homesickness,4,metaphorical,Home feels further away every year that passes,A,465.8,False,True,,
1,homesickness,4,metaphorical,Home feels further away every year that passes,D,0.4,False,True,homesickness,K
1,homesickness,5,colloquial,I'd give anything to walk those streets again,A,474.3,False,True,,
1,homesickness,5,colloquial,I'd give anything to walk those streets again,D,0.1,True,False,__fallback__,
2,longing,1,direct,I wish I had spent more time with my grandparents,A,432.7,False,True,,
2,longing,1,direct,I wish I had spent more time with my grandparents,D,0.2,False,True,longing,A|C
2,longing,2,descriptive,There are things I wanted to say that I never got to say,A,406.2,False,True,,
2,longing,2,descriptive,There are things I wanted to say that I never got to say,D,0.1,False,False,mourning,C
2,longing,3,indirect,I keep reaching for something that isn't there anymore,A,480.5,False,True,,
2,longing,3,indirect,I keep reaching for something that isn't there anymore,D,0.1,False,False,mourning,K|C
2,longing,4,metaphorical,Some days I ache for a version of my life that's gone,A,375.1,False,True,,
2,longing,4,metaphorical,Some days I ache for a version of my life that's gone,D,0.1,True,False,__fallback__,__fallback__
2,longing,5,colloquial,I want back something I can never get back,A,457.3,False,True,,
2,longing,5,colloquial,I want back something I can never get back,D,0.1,False,False,mourning,C
3,mourning,1,direct,I still think about the life I could have lived,A,464.0,False,True,,
3,mourning,1,direct,I still think about the life I could have lived,D,0.1,False,True,longing,A|C
3,mourning,2,descriptive,Years later and I still carry this with me,A,290.2,False,True,,
3,mourning,2,descriptive,Years later and I still carry this with me,D,0.1,False,True,mourning,C
3,mourning,3,indirect,It's been so long but it still hits me sometimes,A,283.5,False,True,,
3,mourning,3,indirect,It's been so long but it still hits me sometimes,D,0.1,True,False,__fallback__,__fallback__
3,mourning,4,metaphorical,Time passes but the weight of it doesn't really go away,A,400.7,False,True,,
3,mourning,4,metaphorical,Time passes but the weight of it doesn't really go away,D,0.1,False,True,mourning,K|C
3,mourning,5,colloquial,"Even now, after everything, that loss is still with me",A,515.8,False,True,,
3,mourning,5,colloquial,"Even now, after everything, that loss is still with me",D,0.1,False,True,mourning,C
4,recognition,1,direct,I deeply admire someone I can never be like,A,412.6,False,True,,
4,recognition,1,direct,I deeply admire someone I can never be like,D,0.1,False,True,recognition,C|D
4,recognition,2,descriptive,There's someone in my life who makes me want to be better,A,535.2,False,True,,
4,recognition,2,descriptive,There's someone in my life who makes me want to be better,D,0.1,True,False,__fallback__,__fallback__
4,recognition,3,indirect,I look up to this person in a way I can't quite explain,A,424.1,False,True,,
4,recognition,3,indirect,I look up to this person in a way I can't quite explain,D,0.1,True,False,__fallback__,
4,recognition,4,metaphorical,Watching someone live the way they do makes me feel small and inspired at once,A,653.9,False,True,,
4,recognition,4,metaphorical,Watching someone live the way they do makes me feel small and inspired at once,D,0.1,False,False,nostalgia,J
4,recognition,5,colloquial,I've never met anyone who made me feel like I was seeing what's possible,A,374.2,False,True,,
4,recognition,5,colloquial,I've never met anyone who made me feel like I was seeing what's possible,D,0.1,False,False,mourning,C
5,apprehension,1,direct,I have a big interview tomorrow,A,526.9,False,True,,
5,apprehension,1,direct,I have a big interview tomorrow,D,0.1,False,False,anxiety,__fallback__
5,apprehension,2,descriptive,Something important is happening tomorrow and I can't stop thinking about it,A,458.6,False,True,,
5,apprehension,2,descriptive,Something important is happening tomorrow and I can't stop thinking about it,D,0.1,True,False,__fallback__,__fallback__
5,apprehension,3,indirect,I'm trying not to think about what's coming but I can't help it,A,548.0,False,True,,
5,apprehension,3,indirect,I'm trying not to think about what's coming but I can't help it,D,0.1,True,False,__fallback__,X
5,apprehension,4,metaphorical,The closer it gets the harder it is to stay calm,A,465.6,False,True,,
5,apprehension,4,metaphorical,The closer it gets the harder it is to stay calm,D,0.1,True,False,__fallback__,__fallback__
5,apprehension,5,colloquial,My stomach won't settle knowing what I have to face tomorrow,A,447.3,False,True,,
5,apprehension,5,colloquial,My stomach won't settle knowing what I have to face tomorrow,D,0.1,True,False,__fallback__,__fallback__
6,joyful_anticipation,1,direct,I'm getting married next month,A,359.4,False,True,,
6,joyful_anticipation,1,direct,I'm getting married next month,D,0.1,False,True,anticipation,H
6,joyful_anticipation,2,descriptive,Something wonderful is about to happen in my life,A,450.6,False,True,,
6,joyful_anticipation,2,descriptive,Something wonderful is about to happen in my life,D,0.1,False,True,anticipation,H
6,joyful_anticipation,3,indirect,I can't believe how close the big day is getting,A,535.2,False,True,,
6,joyful_anticipation,3,indirect,I can't believe how close the big day is getting,D,0.1,True,False,__fallback__,__fallback__
6,joyful_anticipation,4,metaphorical,Everything I've been waiting for is almost here,A,432.6,False,True,,
6,joyful_anticipation,4,metaphorical,Everything I've been waiting for is almost here,D,0.1,True,False,__fallback__,__fallback__
6,joyful_anticipation,5,colloquial,I feel like I'm standing at the edge of something beautiful,A,514.5,False,True,,
6,joyful_anticipation,5,colloquial,I feel like I'm standing at the edge of something beautiful,D,0.1,True,False,__fallback__,
7,social_pain,1,direct,I'm genuinely happy for my friend but I feel jealous too,A,345.0,False,True,,
7,social_pain,1,direct,I'm genuinely happy for my friend but I feel jealous too,D,0.1,False,True,envy,I
7,social_pain,2,descriptive,Watching someone get what I've always wanted is complicated,A,614.4,False,True,,
7,social_pain,2,descriptive,Watching someone get what I've always wanted is complicated,D,0.1,True,False,__fallback__,__fallback__
7,social_pain,3,indirect,I want to celebrate with them but something in me can't quite get there,A,444.2,False,True,,
7,social_pain,3,indirect,I want to celebrate with them but something in me can't quite get there,D,0.1,True,False,__fallback__,__fallback__
7,social_pain,4,metaphorical,Their success is bringing up feelings in me I'm not proud of,A,523.0,False,True,,
