run_id,seed,model_name,model_short,primitive,emotion,combo,region,trial,meaning_score,excitement_score,emotional_elicitation,clarity_score,universality_score,embodiment_score,novelty_score,composite_score,dominant_sensation,composite_concept,confidence,parse_failed
1,42,qwen2.5:0.5b,qwen,move,Nostalgia,move × Nostalgia,R1_MOVE_EXPAND,1,0,0,0,0,0,0,0,0.0,none,move,0.0,False
1,42,qwen2.5:0.5b,qwen,move,Nostalgia,move × Nostalgia,R1_MOVE_EXPAND,2,10,10,10,10,10,10,10,10.0,move,move,1.0,False
1,42,qwen2.5:0.5b,qwen,move,Nostalgia,move × Nostalgia,R1_MOVE_EXPAND,3,9,0,0,9,9,9,0,5.85,move,move,1.0,False
1,42,qwen2.5:0.5b,qwen,time,Hope,time × Hope,STABLE_CROSS,1,10,10,10,10,10,10,10,10.0,hope,hope,1.0,False
1,42,qwen2.5:0.5b,qwen,time,Hope,time × Hope,STABLE_CROSS,2,5,0,0,5,3,0,0,2.45,hope,hope,1.0,False
1,42,qwen2.5:0.5b,qwen,time,Hope,time × Hope,STABLE_CROSS,3,10,10,10,10,10,10,10,10.0,hope,hope,1.0,False
1,42,qwen2.5:0.5b,qwen,not,Triumph,not × Triumph,STABLE_CROSS,1,5,5,5,5,5,5,5,5.0,triumph,triumphant,1.0,False
1,42,qwen2.5:0.5b,qwen,not,Triumph,not × Triumph,STABLE_CROSS,2,10,10,10,10,10,10,10,10.0,triumph,triumph,1.0,False
1,42,qwen2.5:0.5b,qwen,not,Triumph,not × Triumph,STABLE_CROSS,3,10,0,0,0,0,0,0,2.5,triumph,triumph,1.0,False
1,42,qwen2.5:0.5b,qwen,maybe,Hope,maybe × Hope,NEAR_MISS,1,0,0,0,0,0,0,0,0.0,,,1.0,False
1,42,qwen2.5:0.5b,qwen,maybe,Hope,maybe × Hope,NEAR_MISS,2,0,0,0,0,0,0,0,0.0,,maybe,0.0,False
1,42,qwen2.5:0.5b,qwen,maybe,Hope,maybe × Hope,NEAR_MISS,3,5,5,5,5,5,5,5,5.0,hope,hope,1.0,False
1,42,qwen2.5:0.5b,qwen,someone,Surprise,someone × Surprise,R3_SOMEONE_EXPAND,1,8,5,8,5,5,0,5,5.85,surprised,someone,1.0,False
1,42,qwen2.5:0.5b,qwen,someone,Surprise,someone × Surprise,R3_SOMEONE_EXPAND,2,0,0,0,0,0,0,0,0.0,none,none,1.0,False
1,42,qwen2.5:0.5b,qwen,someone,Surprise,someone × Surprise,R3_SOMEONE_EXPAND,3,10,10,10,10,10,10,10,10.0,surprise,someone,1.0,False
1,42,qwen2.5:0.5b,qwen,do,Excitement,do × Excitement,R1_EXCITE_EXPAND,1,10,0,10,10,10,10,10,9.0,do,do,1.0,False
1,42,qwen2.5:0.5b,qwen,do,Excitement,do × Excitement,R1_EXCITE_EXPAND,2,0,0,0,0,0,0,0,0.0,do,do,1.0,False
1,42,qwen2.5:0.5b,qwen,do,Excitement,do × Excitement,R1_EXCITE_EXPAND,3,10,10,10,10,10,10,10,10.0,excitement,excitement,1.0,False
1,42,qwen2.5:0.5b,qwen,someone,Anxiety,someone × Anxiety,R3_SOMEONE_EXPAND,1,10,10,10,10,10,10,10,10.0,anxiety,anxiety,1.0,False
1,42,qwen2.5:0.5b,qwen,someone,Anxiety,someone × Anxiety,R3_SOMEONE_EXPAND,2,10,10,5,10,10,5,5,8.25,anxiety,anxiety,1.0,False
1,42,qwen2.5:0.5b,qwen,someone,Anxiety,someone × Anxiety,R3_SOMEONE_EXPAND,3,10,0,0,0,0,0,0,2.5,Anxiety,anxiety,1.0,False
1,42,qwen2.5:0.5b,qwen,not,Disgust,not × Disgust,STABLE_CROSS,1,0,0,0,0,0,0,0,0.0,not,not,0.0,False
1,42,qwen2.5:0.5b,qwen,not,Disgust,not × Disgust,STABLE_CROSS,2,0,0,0,0,0,0,0,0.0,not,not,1.0,False
